1,2019-06-15,28,1,45,TR,Clean,on sight,1,-1
2,2019-06-15,27,1,60,Lead,Fell/Hung,-1,1,-1
3,2019-06-15,1,1,45,Follow,Clean,-1,1,-1
4,2019-07-01,2,1,10,Send,-1,-1,-1,-1
5,2019-07-01,3,1,10,Flash,-1,-1,-1,-1
6,2019-07-01,4,1,10,Send,-1,-1,-1,-1
7,2019-07-01,5,1,10,Send,-1,-1,-1,-1
8,2019-07-01,6,1,10,Send,-1,-1,-1,-1
9,2019-07-01,7,1,10,Flash,-1,-1,-1,-1
10,2019-07-01,8,1,10,Send,-1,-1,-1,-1
11,2019-07-27,9,1,10,Send,-1,-1,-1,-1
12,2019-07-31,574,1,60,TR,Fell/Hung,-1,-1,-1
13,2019-07-31,314,1,90,Lead,Onsight,-1,-1,-1
14,2019-08-30,574,1,60,Lead,Pinkpoint,-1,-1,-1
15,2019-08-30,36,1,55,TR,Clean,-1,-1,-1
16,2019-09-07,415,1,50,TR,Clean,-1,-1,-1
17,2019-09-07,384,1,50,Lead,Fell/Hung,-1,-1,-1
18,2019-09-07,36,1,55,Lead,Pinkpoint,-1,-1,-1
19,2019-09-07,572,1,70,Lead,Fell/Hung,-1,-1,-1
20,2019-09-07,10,1,55,TR,Clean,-1,-1,-1
21,2019-09-07,33,1,80,Lead,Fell/Hung,-1,-1,-1
22,2019-09-20,34,1,60,Lead,Fell/Hung,-1,-1,-1
23,2019-09-20,12,1,50,Lead,Onsight,-1,-1,-1
24,2019-09-20,574,1,60,TR,Clean,-1,-1,-1
25,2019-09-20,315,1,90,TR,Clean,-1,-1,-1
26,2019-09-20,11,1,65,Lead,Onsight,-1,-1,-1
27,2019-09-27,414,1,50,TR,Clean,-1,-1,-1
28,2019-09-27,574,1,60,Lead,Fell/Hung,-1,-1,-1
29,2019-09-27,34,1,60,Lead,Fell/Hung,-1,-1,-1
30,2019-10-04,12,1,50,TR,Clean,-1,-1,-1
31,2019-10-04,27,1,60,Lead,Redpoint,-1,-1,-1
32,2019-10-04,27,1,60,TR,Clean,-1,-1,-1
33,2019-10-04,13,1,50,TR,Clean,-1,-1,-1
